✦  MELVIN SHAJAN — JOB APPLICATION TRACKER  ✦  Sorted by Your Probability of Getting In,,,,,,,,,,,,,,,,,,
"AI Engineer · LangGraph · RAG · Multi-Agent · FastAPI · Neo4j  |  Chennai, India  |  1 Year Exp  |  Open to Relocate",,,,,,,,,,,,,,,,,,
🟢 80%+ Chance = Apply TODAY   |   🟡 55-79% = Apply This Week   |   🔴 Below 55% = Safety Net / Later,,,,,,,,,,,,,,,,,,
Rank,Company,Role,Location,Type,Salary (LPA),Platform,Job URL,% Chance,Why You Fit,Applied Date,Status,Stage,HR Contact,Interview Date,Offer (LPA),Notes,Priority,Final Word
12,Rephrase.ai,AI/ML Engineer,Bangalore,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/rephrase-ai,🟢 83%,"Generative AI startup, active Anthropic API users, strong Python+LLM demand",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
13,Murf.ai,Software Eng – AI,Bangalore,Full-Time,16-28 LPA,LinkedIn,https://www.linkedin.com/company/murf-ai,🟢 82%,"Series B AI startup, Python+FastAPI+AI agent stack, juniors welcome",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
14,Agara Labs,AI Engineer,Bangalore / Remote,Full-Time,18-28 LPA,Wellfound,https://wellfound.com/company/agara,🟢 82%,"Voice + NLP AI, Python/ML/agent stack, growing startup, 1-yr exp common entry level",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
15,Mihup,NLP / Conversational AI,Kolkata / Remote,Full-Time,16-26 LPA,Wellfound,https://wellfound.com/company/mihup,🟢 81%,"Conversational AI, remote options, small startup = fast hiring process",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
16,Flowise AI,AI Engineer,Remote,Remote,25-45 LPA,GitHub,https://github.com/FlowiseAI/Flowise,🟢 81%,"Open-source LLM orchestration startup, LangChain experts only — you qualify",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
17,Botpress,AI Engineer,Remote,Remote,28-48 LPA,Wellfound,https://wellfound.com/company/botpress,🟢 80%,"Agent platform, India remote hiring, strong LangGraph/agent match",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
18,Voiceflow,Software Engineer,Remote,Remote,30-50 LPA,Wellfound,https://wellfound.com/company/voiceflow,🟢 80%,"Conversational AI builder, remote India-friendly, Python + agent stack",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
19,Vernacular AI,NLP Engineer,Bangalore,Full-Time,14-24 LPA,Wellfound,https://wellfound.com/company/vernacular-ai,🟡 79%,"NLP startup India, small team, lower bar than MNCs, 1-yr exp fine",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
20,Kapa.ai,AI Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/kapa,🟡 79%,"AI Q&A for developer docs, RAG + LangChain = exact fit, small startup",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
21,Mendable,Software Engineer,Remote,Remote,28-50 LPA,Wellfound,https://wellfound.com/company/mendable,🟡 78%,"AI search for developer docs, RAG + vector DB = perfect skill match",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
22,Superagent.sh,AI Engineer,Remote,Remote,25-45 LPA,GitHub,https://github.com/superagent-ai/superagent,🟡 78%,"Open-source multi-agent platform, LangChain/LangGraph core, remote-friendly",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
23,Dust.tt,AI Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/dust-tt,🟡 77%,"LLM workflow platform, agent-first, Python + RAG, small European startup hiring globally",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
24,Letta (MemGPT),AI Engineer,Remote,Remote,35-65 LPA,Wellfound,https://wellfound.com/company/letta,🟡 77%,"Long-term memory agents, directly aligned with multi-agent RAG exp, niche = less competition",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
25,CrewAI,AI Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/crewai,🟡 76%,"Multi-agent framework startup, your LangGraph/multi-agent exp is exactly what they need",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
26,Activeloop,AI/Data Engineer,Remote,Remote,28-50 LPA,Wellfound,https://wellfound.com/company/activeloop,🟡 76%,"Deep Lake vector store, ETL + vector DB match, hiring India remotes",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
27,AgentOps,AI Engineer,Remote,Remote,28-50 LPA,Wellfound,https://wellfound.com/company/agentops,🟡 75%,"Agent observability startup, LangGraph/LangChain integrations, super niche = easy entry",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
28,Vectara,AI/ML Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/vectara,🟡 75%,"RAG-as-a-service platform, your RAG + ETL pipeline exp is exactly what they want",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
29,Typebot,Software Engineer,Remote,Remote,25-45 LPA,Wellfound,https://wellfound.com/company/typebot,🟡 74%,"Open-source chatbot builder, React + FastAPI stack match, small remote-first team",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
30,AutoGPT,AI Engineer,Remote,Remote,30-55 LPA,GitHub,https://github.com/Significant-Gravitas/AutoGPT,🟡 74%,"Foundational agentic AI, your multi-agent + LangGraph exp is a direct credential",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
31,Supermaven,AI Engineer,Remote,Remote,35-65 LPA,Wellfound,https://wellfound.com/company/supermaven,🟡 73%,"AI code completion startup, Python + LLM API experience required",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
32,Dhruva AI (Sarvam),AI Engineer,Bangalore,Full-Time,20-35 LPA,Wellfound,https://wellfound.com/company/sarvam-ai,🟡 73%,"Sarvam's language model division, India-first, LLM API + RAG, loves junior talent",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
33,Together AI,Software Engineer,Remote,Remote,40-70 LPA,Wellfound,https://wellfound.com/company/togethercomputer,🟡 72%,"Cloud inference for OSS LLMs, you literally used their API at NCompass = talking point",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
34,Krutrim,Software Eng – AI,Bangalore,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/krutrim-ola,🟡 72%,"Ola's India LLM, heavy Python + agent hiring, ambitious AI startup, 1-yr ok",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
35,Weaviate,Software Engineer,Remote,Remote,35-60 LPA,Wellfound,https://wellfound.com/company/weaviate,🟡 71%,"Vector DB startup, your Neo4j + vector store exp transfers well, global remote",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
36,Qdrant,Software Engineer,Remote,Remote,35-60 LPA,Wellfound,https://wellfound.com/company/qdrant,🟡 71%,"Vector search engine, RAG pipeline exp is your #1 leverage here, remote-friendly",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
37,Chroma,Software Engineer,Remote,Remote,30-55 LPA,LinkedIn,https://www.linkedin.com/company/chroma-core,🟡 70%,"Chromadb = popular in RAG stacks you've built, small team, direct exp wins",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
38,Neo4j,Software Engineer,Remote,Remote,35-60 LPA,LinkedIn,https://www.linkedin.com/company/neo4j,🟡 70%,"Knowledge graph company, your Neo4j + knowledge graph prod exp is gold here",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
39,Zilliz (Milvus),Software Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/zilliz,🟡 69%,"Milvus vector DB, your RAG + vector retrieval work is a perfect resume highlight",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
40,Pinecone,Software Engineer,Remote,Remote,40-70 LPA,LinkedIn,https://www.linkedin.com/company/pinecone-io,🟡 69%,"Top vector DB, RAG pipeline exp + production usage is your key talking point",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
41,Martian (withmartian),AI Engineer,Remote,Remote,35-65 LPA,Wellfound,https://wellfound.com/company/martian-2,🟡 68%,"LLM router startup, deep LLM + Anthropic/OpenAI API knowledge is core ask",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
42,Clarifai,AI Engineer,Remote,Remote,30-55 LPA,Wellfound,https://wellfound.com/company/clarifai,🟡 68%,"AI platform, Python + LLM API integration roles, remote India hiring",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
43,Upstash,Software Engineer,Remote,Remote,28-48 LPA,Wellfound,https://wellfound.com/company/upstash,🟡 67%,"Serverless Redis/Kafka, complements your FastAPI + data pipeline stack",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
44,Ema (Unify Data),AI Engineer,Bangalore,Full-Time,22-40 LPA,Wellfound,https://wellfound.com/company/ema-1,🟡 67%,"Enterprise AI agent platform, India hiring, multi-agent exp is core requirement",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
45,Avaamo,AI Eng – Conversational,Bangalore,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/avaamo,🟡 66%,"Enterprise conversational AI, Python + NLP + agents, well-funded startup",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
46,LangChain,Software Engineer,Remote,Remote,40-75 LPA,Wellfound,https://wellfound.com/company/langchain,🟡 66%,The framework you use daily — showing shipped LangGraph apps in portfolio is huge,,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
47,Codeium / Windsurf,AI Engineer,Remote,Remote,40-70 LPA,LinkedIn,https://www.linkedin.com/company/codeium,🟡 65%,"Code AI startup, your CodeWiki-style GitHub platform project is a direct portfolio win",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
48,Phind,Software Engineer,Remote,Remote,35-65 LPA,Wellfound,https://wellfound.com/company/phind,🟡 65%,"AI search for developers, RAG + code understanding = your CodeWiki exp matters",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
49,Observe.AI,AI Software Engineer,Bangalore,Full-Time,22-38 LPA,LinkedIn,https://www.linkedin.com/company/observeai,🟠 64%,"Contact center AI, LangChain + Python + prod deployment, solid India presence",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
50,Yellow.ai,AI Engineer,Bangalore,Full-Time,18-32 LPA,LinkedIn,https://www.linkedin.com/company/yellowmessenger,🟠 64%,"Large conversational AI startup India, multi-agent + NLP roles, growing fast",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
51,SquadStack,AI/Automation Engineer,Gurgaon / Remote,Full-Time,14-24 LPA,Wellfound,https://wellfound.com/company/squadstack,🟠 63%,"AI sales automation, Python + agents + workflow automation, 1-yr ok",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
52,Shaip,AI Data / LLM Engineer,Remote,Remote,14-24 LPA,LinkedIn,https://www.linkedin.com/company/shaip,🟠 63%,"LLM data platform, India remote, lower bar, good stepping stone",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
53,Sigmoid,Data & AI Engineer,Bangalore,Full-Time,16-28 LPA,LinkedIn,https://www.linkedin.com/company/sigmoidanalytics,🟠 62%,"Data + AI consulting, Apache NiFi exp is a rare match, ETL + pipelines strength",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
54,Quantiphi,AI Engineer,Mumbai / Remote,Full-Time,16-28 LPA,LinkedIn,https://www.linkedin.com/company/quantiphi,🟠 62%,"Applied AI firm, LLM + data engineering, India-first, 1-yr often accepted",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
55,Nference,Software Eng – AI,Bangalore,Full-Time,18-32 LPA,LinkedIn,https://www.linkedin.com/company/nferx,🟠 61%,"Biomedical NLP + LLMs, Neo4j knowledge graphs is a rare bonus, good niche fit",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
56,Fractal Analytics,AI Engineer,Bangalore / Remote,Full-Time,18-32 LPA,LinkedIn,https://www.linkedin.com/company/fractal-analytics,🟠 61%,"Analytics + AI firm, Python + RAG + LLM, midsize company, 1-yr exp sometimes ok",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
57,Glean,Software Engineer,Bangalore (US co.),Full-Time,30-55 LPA,Wellfound,https://wellfound.com/company/glean-2,🟠 60%,"Enterprise AI search, RAG + vector DB exp = great fit, slightly higher bar for US co",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
58,Krista (AI),AI Engineer,Remote,Remote,20-38 LPA,Wellfound,https://wellfound.com/role/l/ai-engineer/india,🟠 60%,"Process automation + AI, workflow + LangChain match, India remote friendly",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
59,Altor AI,AI Engineer,Remote,Remote,22-40 LPA,Wellfound,https://wellfound.com/role/l/ai-engineer/india,🟠 59%,"AI security startup, Python + LLM API + agent work, early stage = easy bar",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
60,Moveworks,AI Engineer,Remote / India,Remote,35-65 LPA,LinkedIn,https://www.linkedin.com/company/moveworks,🟠 59%,"IT helpdesk AI, agent workflows + enterprise integration = solid match",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
61,People.ai,Software Engineer,Remote,Remote,35-60 LPA,LinkedIn,https://www.linkedin.com/company/people-ai,🟠 58%,"Revenue AI platform, Python + LLM + data pipelines, India remote hiring",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
62,Voicebot / Speechify,AI/NLP Engineer,Remote,Remote,30-50 LPA,LinkedIn,https://www.linkedin.com/company/speechify,🟠 58%,"AI audio/text, Python + NLP, remote India, medium bar",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
63,Krisp,AI Engineer,Remote,Remote,28-50 LPA,Wellfound,https://wellfound.com/company/krisp,🟠 57%,"Noise-cancellation AI, Python + ML + audio processing, remote",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
64,Databricks,Software Engineer,Bangalore / Remote,Hybrid,30-55 LPA,LinkedIn,https://www.linkedin.com/company/databricks,🟠 57%,"Data+AI platform, ETL + pipeline exp is good, slightly higher bar than pure startups",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
65,Tarento Technologies,Software Eng – AI,Bangalore / Remote,Hybrid,14-22 LPA,LinkedIn,https://www.linkedin.com/company/tarento,🟠 56%,"Product engineering firm, Python + React + AI, entry-level ok",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
66,Haptik (Jio),Conversational AI Eng,Mumbai / Remote,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/haptik,🟠 56%,"Jio-backed, large but startup-like, NLP + agent platforms, good India presence",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
67,Sprinklr,AI Eng – Gen AI Products,Gurgaon / Remote,Hybrid,25-42 LPA,LinkedIn,https://www.linkedin.com/company/sprinklr,🟠 55%,"Enterprise CX + AI, LLM integration roles, medium-sized, higher bar than pure startup",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
68,Weights & Biases,Software Engineer,Remote,Remote,35-60 LPA,Wellfound,https://wellfound.com/company/wandb,🟠 55%,"MLOps tooling, Python + ML pipelines, India remote, slightly senior-skewing roles",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
69,Cohere,Software Engineer,Remote,Remote,40-70 LPA,LinkedIn,https://www.linkedin.com/company/cohere-ai,🟠 54%,"LLM API startup, strong Python + LLM exp needed, medium-bar for 1-yr",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
70,AI21 Labs,Software Engineer,Remote,Remote,35-60 LPA,LinkedIn,https://www.linkedin.com/company/ai21-labs,🟠 54%,"LLM research + product, global remote, slightly research-heavy bar",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
71,Ninjacart,Software Eng – AI,Bangalore,Full-Time,16-26 LPA,LinkedIn,https://www.linkedin.com/company/ninjacart,🟠 53%,"Agri supply chain + AI, geospatial + data pipelines match, India startup",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
72,Abridge,Software Eng – AI,Remote,Remote,35-60 LPA,Wellfound,https://wellfound.com/company/abridge,🟠 52%,"Medical AI, NLP + LLMs, remote, slightly domain-specific (healthcare) — still ok",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
73,Darwinbox,Software Eng – AI,Hyderabad / Remote,Hybrid,16-28 LPA,LinkedIn,https://www.linkedin.com/company/darwinbox,🟠 52%,"HR SaaS + AI, your HRMS work at NCompass is a PERFECT talking point here",,⏳ Yet to Apply,Not Started,,,,,🔥 High,⏳ Pending
74,Labelbox,AI Platform Engineer,Remote,Remote,35-60 LPA,LinkedIn,https://www.linkedin.com/company/labelbox,🟠 51%,"AI data platform, Python + pipeline exp, India remote, medium competition",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
75,Scale AI,Software Engineer,Remote,Remote,40-75 LPA,LinkedIn,https://www.linkedin.com/company/scaleai,🟠 51%,"AI data infra, Python + ML + ETL, harder bar, strong brand on resume",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
76,Sourcegraph,Software Engineer,Remote,Remote,35-60 LPA,Wellfound,https://wellfound.com/company/sourcegraph,🟠 50%,"Code intelligence AI, your CodeWiki/GitHub-to-graph project is a direct story",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
77,Replit,Software Engineer,Remote,Remote,35-65 LPA,Wellfound,https://wellfound.com/company/replit,🟠 50%,"AI-first coding platform, code understanding + LLM, medium bar",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
78,Perplexity AI,Software Engineer,Remote,Remote,40-80 LPA,Wellfound,https://www.linkedin.com/company/perplexity-ai,🔴 48%,"AI search engine, high bar, strong Python + RAG needed but competitive pipeline",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
79,Mistral AI,Software Engineer,Remote,Remote,45-80 LPA,LinkedIn,https://www.linkedin.com/company/mistral-ai,🔴 48%,"LLM research company, harder bar, but your LLM API + RAG exp qualifies partially",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
80,Zoho,Software Eng – AI,Chennai,Full-Time,12-22 LPA,Direct,https://careers.zoho.com,🔴 47%,"Chennai home base, good culture, lower salary but safe bet for total experience",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
81,InMobi,Software Eng – AI,Bangalore,Full-Time,20-35 LPA,LinkedIn,https://www.linkedin.com/company/inmobi,🔴 46%,"AdTech + AI, Python + ML, medium bar, good compensation for India",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
82,Airtel Xtra (AI Lab),AI Software Engineer,Gurgaon,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/bharti-airtel,🔴 46%,"Telecom AI lab, Python + data pipelines, medium-sized team, ok for 1-yr",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
83,Hasura,Software Engineer,Bangalore / Remote,Remote,20-35 LPA,Wellfound,https://hasura.io/careers,🔴 45%,"GraphQL + data APIs, React + FastAPI stack partial match, slightly API-engineering heavy",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
84,BrowserStack,Software Engineer,Mumbai / Remote,Full-Time,20-32 LPA,LinkedIn,https://www.linkedin.com/company/browserstack,🔴 45%,"Testing platform, some AI roles, Python + API, lower AI-specific relevance",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
85,Postman,Software Engineer,Bangalore / Remote,Full-Time,22-38 LPA,LinkedIn,https://www.linkedin.com/company/postman-platform,🔴 44%,"API platform, REST + Python + developer tools, lower AI focus but good brand",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
86,slice,Software Eng – AI,Bangalore,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/sliceit,🔴 44%,"Fintech + AI, Python + data eng, medium bar, less agent-specific",,⏳ Yet to Apply,Not Started,,,,,⭐ Medium,⏳ Pending
87,Razorpay,Software Engineer – Platform,Bangalore,Full-Time,22-40 LPA,LinkedIn,https://www.linkedin.com/company/razorpay,🔴 43%,"Fintech, Python + backend, less AI-specific but well-paying unicorn",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
88,PhonePe,Software Engineer,Bangalore,Full-Time,22-40 LPA,LinkedIn,https://www.linkedin.com/company/phonepe-internet,🔴 43%,"Fintech unicorn, backend heavy, not very AI-specific for your skills",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
89,Swiggy,Software Eng – AI,Bangalore,Full-Time,22-40 LPA,LinkedIn,https://www.linkedin.com/company/swiggy-in,🔴 42%,"Food delivery, some ML/data roles, Python exp transfers but not AI-agent focused",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
90,Zomato,Software Eng – AI,Gurgaon,Full-Time,22-40 LPA,LinkedIn,https://www.linkedin.com/company/zomato,🔴 42%,"Food tech + AI, ML roles exist, Python + data, medium-high bar, less agent focus",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
91,Meesho,Software Engineer,Bangalore,Full-Time,20-35 LPA,LinkedIn,https://www.linkedin.com/company/meesho,🔴 41%,"E-commerce, Python + ML, less AI-specific, higher competition for sw eng roles",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
92,CRED,Software Engineer,Bangalore,Full-Time,25-45 LPA,LinkedIn,https://www.linkedin.com/company/dreamplug-tech,🔴 41%,"Premium fintech, very high hiring bar, less AI-specific for your stack",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
93,Incture,Software Eng – AI,Bangalore,Full-Time,14-24 LPA,LinkedIn,https://www.linkedin.com/company/incture,🔴 40%,"SAP + AI firm, some LLM roles, safe fallback, lower tier startup",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
94,Kellton Tech,AI Engineer,Hyderabad / Remote,Hybrid,14-22 LPA,LinkedIn,https://www.linkedin.com/company/kellton-tech,🔴 39%,"IT services + AI, lower bar but also lower ceiling, ok as safety net",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
95,Paytm,Software Eng – AI/ML,Noida,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/paytm,🔴 38%,"Fintech under pressure, layoff risk, Python roles ok but less stable option",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
96,Ola Electric,Software Eng – AI/IoT,Bangalore,Full-Time,18-30 LPA,LinkedIn,https://www.linkedin.com/company/olaelectric,🔴 37%,"EV + software, IoT + data, some Python but not agent-AI focused",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
97,Airbus India Tech,Software Engineer,Bangalore,Full-Time,20-32 LPA,LinkedIn,https://www.linkedin.com/company/airbus,🔴 36%,"Aerospace tech, Python + data, not AI-agent specific, conservative hiring culture",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
98,Kellton Tech Alt,AI Data Engineer,Remote,Remote,12-20 LPA,Naukri,https://www.naukri.com/jobs-in-ai,🔴 35%,"Safety net — Naukri general AI postings, lower salary but fallback option",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
99,TCS Digital,Software Eng – AI,Pan India,Full-Time,8-14 LPA,TCS,https://ibegin.tcs.com,🔴 32%,"Service company, very low salary ceiling, high job security, last resort",,⏳ Yet to Apply,Not Started,,,,,💤 Low,⏳ Pending
